path,extension,is_folder,size,last_modified,created_time,is_container,contents,within_container,parent_object,Office_last_mod_time,Office_last_mod_by,XLS_num_sheets,PDF_num_pages,PDF_layout,MP3_track title,MP3_artist,MP3_duration,AUD_bitrate,IMG_size,IMG_dpi,IMG_device
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\skyisland2_1311_thumb.jpg,.jpg,False,50,Mon Oct  7 20:02:44 2024,None,,,,,,,,,,,,,,"(150, 150)","(72.009, 72.009)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\sleeping_fires_1403_thumb.jpg,.jpg,False,26,Mon Oct  7 20:02:45 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\somme_battle_stories_1402_thumb.jpg,.jpg,False,19,Mon Oct  7 20:02:45 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\songs_road_1403_thumb.jpg,.jpg,False,19,Mon Oct  7 20:02:45 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\songs_sourdough_1310_thumb.jpg,.jpg,False,15,Mon Oct  7 20:02:45 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\sophist_1311_thumb.jpg,.jpg,False,20,Mon Oct  7 20:02:45 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\souls_sale_1311_thumb.jpg,.jpg,False,23,Mon Oct  7 20:02:45 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\statesman_1312_thumb.jpg,.jpg,False,18,Mon Oct  7 20:02:46 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\story_days_come_1403_thumb.jpg,.jpg,False,25,Mon Oct  7 20:02:46 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\story_patriot_1311_thumb.jpg,.jpg,False,23,Mon Oct  7 20:02:46 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\story_soul2_1311_thumb.jpg,.jpg,False,16,Mon Oct  7 20:02:47 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\story_young_lincoln_1312_thumb.jpg,.jpg,False,15,Mon Oct  7 20:02:47 2024,None,,,,,,,,,,,,,,"(150, 150)","(400, 400)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\summa_theologica4_1401_thumb.jpg,.jpg,False,19,Mon Oct  7 20:02:47 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\supermind_1403_thumb.jpg,.jpg,False,24,Mon Oct  7 20:02:47 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\sweethearts_1311_thumb.jpg,.jpg,False,19,Mon Oct  7 20:02:47 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\sylvie_bruno_conc_1311_thumb.jpg,.jpg,False,20,Mon Oct  7 20:02:47 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\tales_space_time_1401_thumb.jpg,.jpg,False,25,Mon Oct  7 20:02:48 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\tale_tub_1403_thumb.jpg,.jpg,False,20,Mon Oct  7 20:02:48 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\talleyrand_maxim_1401_thumb.jpg,.jpg,False,17,Mon Oct  7 20:02:48 2024,None,,,,,,,,,,,,,,"(150, 150)","(300, 300)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\taxi_1311_thumb.jpg,.jpg,False,17,Mon Oct  7 20:02:48 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\tess_dubervilles3_1401_thumb.jpg,.jpg,False,15,Mon Oct  7 20:02:48 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\texas_cowboy_1401_thumb.jpg,.jpg,False,21,Mon Oct  7 20:02:48 2024,None,,,,,,,,,,,,,,"(150, 150)","(300, 300)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\theaetetus_1311_thumb.jpg,.jpg,False,22,Mon Oct  7 20:02:49 2024,None,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\The_cat_its_Natural_History_Varieties_And_management_1402_thumb.jpg,.jpg,False,36,Mon Oct  7 20:00:47 2024,2014:02:19 20:51:59,,,,,,,,,,,,,,"(150, 150)","(72, 72)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\the_two_destinies_1402_thumb.jpg,.jpg,False,28,Mon Oct  7 20:02:49 2024,2014:02:20 01:03:02,,,,,,,,,,,,,,"(150, 150)","(81, 81)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\three_clerks_2_1401_thumb.jpg,.jpg,False,18,Mon Oct  7 20:02:49 2024,None,,,,,,,,,,,,,,"(150, 148)","(180, 180)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\three_essays_1401_thumb.jpg,.jpg,False,16,Mon Oct  7 20:02:49 2024,None,,,,,,,,,,,,,,"(150, 150)","(96, 96)",No data
S:/EUD\LibrivoxM4bCollectionAudiobooksMain\Three_Sisters_1311_thumb.jpg,.jpg,False,47,Mon Oct  7 20:00:48 2024,2013:11:19 01:04:44,,,,,,,,,,,,,,"(150, 150)","(100.0, 100.0)",No data
